User_Id,Sex,Sports_IF,MovieGenres_IF,MusicGenres_IF,Hobbies_IF,TravelPreferences_IF,FoodPreferences_IF,Books_IF,VideoGames_IF,OutdoorActivities_IF,LifestylePreferences_IF,Age
1,male,"Cricket, Football, Running","Drama, Romance","Blues, Reggae, EDM, Pop, Country, Jazz","Gardening, Writing, Knitting, Painting","Cultural Festivals, Historical Sites, Wildlife Safaris","Japanese, BBQ, Seafood, Desserts, Indian, Italian, Vegan, Mexican, Chinese, Mediterranean","Science Fiction, Romance, Biographies, Non-Fiction","Sports, Adventure, Simulation, Fighting, FPS, RPG, Puzzle, Strategy, Action, Indie","Camping, Surfing, Hiking, Fishing, Picnicking, Boating, Bird Watching, Stargazing","Sustainability, Mindfulness, Fashion, Fitness, Minimalism, DIY Projects, Volunteering, Tech Gadgets",31
2,male,"Swimming, Basketball, Badminton, Cricket","Mystery, Drama, Sci-Fi, Romance, Horror, Documentary, Animated, Fantasy, Action, Comedy","Folk, Country, Jazz","Reading, Painting, Gaming, Knitting, Dancing, Crafting, Cooking, Photography, Writing","Countryside, Adventure Sports, Cultural Festivals, Beaches, Mountains, Historical Sites","Italian, Chinese, Indian",,"FPS, Sports, Adventure, RPG, Action, Simulation, Indie, Fighting, Puzzle","Bird Watching, Surfing, Skiing, Camping, Stargazing, Rock Climbing, Fishing","Mindfulness, Minimalism, Socializing, Sustainability, Fashion, Tech Gadgets",23
3,male,"Cricket, Tennis, Gymnastics, Yoga","Fantasy, Drama, Comedy, Sci-Fi, Mystery, Action, Animated, Documentary","Reggae, Rock, Blues, Hip-hop, Folk, Country","Photography, Reading, Dancing, Gardening, Writing","Beaches, Mountains, Luxury Resorts, Countryside, Historical Sites, Road Trips, Adventure Sports",Chinese,"Thriller, Poetry, Biographies","Sports, Simulation, Strategy, Fighting","Bird Watching, Stargazing, Boating, Skiing, Hiking, Surfing, Rock Climbing","Tech Gadgets, Mindfulness",34
4,male,"Cycling, Football, Tennis, Basketball, Running, Gymnastics, Yoga, Swimming","Mystery, Drama, Comedy, Romance, Sci-Fi, Action, Documentary, Horror",,"Writing, Painting, Gaming, Gardening","Road Trips, Cultural Festivals, Wildlife Safaris, Adventure Sports, Luxury Resorts, Historical Sites, Cities, Countryside","Desserts, Mexican, Vegan, Italian, Indian, Seafood, Japanese, Mediterranean, Chinese","Fantasy, Non-Fiction, Fiction, Poetry, Mystery","Sports, RPG","Hiking, Boating, Bird Watching, Rock Climbing, Picnicking","Sustainability, Socializing, Volunteering, DIY Projects, Fashion, Entrepreneurship, Mindfulness, Minimalism, Tech Gadgets, Fitness",37
5,male,"Cycling, Tennis, Basketball, Yoga, Badminton",Mystery,"Country, Blues, Rock, Classical, Hip-hop, EDM","Dancing, Crafting, Writing, Reading, Painting, Cooking","Adventure Sports, Cities, Mountains, Cultural Festivals, Beaches, Luxury Resorts",Chinese,"Mystery, Science Fiction, Non-Fiction, Fiction, Self-help, Poetry, Thriller","Simulation, Strategy, FPS, Fighting, Sports","Picnicking, Hiking, Skiing, Rock Climbing, Fishing, Bird Watching",,37
6,male,"Running, Tennis, Football","Romance, Sci-Fi, Comedy, Mystery, Drama, Documentary, Fantasy, Action","Reggae, Classical, Hip-hop, Folk, Rock, Country",,,"Seafood, Vegan, Indian, Italian, BBQ","Fantasy, Self-help","Strategy, Adventure, FPS, Simulation, Puzzle","Surfing, Picnicking, Boating, Rock Climbing, Fishing, Skiing, Bird Watching, Camping, Stargazing, Hiking",,29
7,male,,"Romance, Sci-Fi, Documentary, Horror, Animated, Mystery, Comedy, Action, Drama, Fantasy","Jazz, Folk, Pop, Country, Blues, Reggae, Rock, Classical, EDM","Writing, Photography, Painting, Cooking, Gardening, Reading, Gaming","Countryside, Cities, Wildlife Safaris","Mexican, Italian, Chinese, Indian, Desserts",,"Fighting, FPS, Indie, Puzzle, RPG","Camping, Boating, Skiing, Fishing, Bird Watching, Picnicking, Stargazing","Sustainability, Fitness, Entrepreneurship, DIY Projects, Socializing",47
8,male,"Cricket, Yoga, Badminton, Running","Drama, Animated, Action","Reggae, Hip-hop, EDM, Pop, Classical, Rock, Country","Gardening, Photography, Knitting, Writing, Dancing, Crafting, Gaming, Reading, Painting","Wildlife Safaris, Adventure Sports, Luxury Resorts, Historical Sites, Cities, Beaches","Vegan, Indian, Mexican, Desserts, Seafood, Chinese, Japanese, Italian, BBQ","Fiction, Self-help, Romance, Fantasy, Poetry, Mystery, Thriller, Science Fiction, Biographies, Non-Fiction","RPG, Fighting, Indie, Simulation, FPS, Adventure","Camping, Skiing, Boating, Rock Climbing, Bird Watching, Picnicking, Hiking","Mindfulness, Sustainability, Tech Gadgets, Minimalism, Entrepreneurship",24
9,male,"Yoga, Tennis, Running","Sci-Fi, Fantasy, Action",,"Knitting, Gaming, Gardening, Crafting, Reading, Cooking, Photography, Writing","Countryside, Luxury Resorts, Adventure Sports, Historical Sites, Road Trips, Mountains, Cities, Wildlife Safaris, Cultural Festivals, Beaches","Mexican, BBQ, Italian, Indian, Chinese, Vegan",Thriller,"FPS, Action","Surfing, Hiking, Picnicking, Rock Climbing, Skiing, Bird Watching, Camping, Boating, Stargazing","Tech Gadgets, Entrepreneurship, Mindfulness, Fitness, Volunteering, Socializing",29
10,male,"Yoga, Basketball, Gymnastics, Badminton, Football, Swimming, Cycling, Running","Drama, Action, Fantasy, Animated, Comedy",,"Gaming, Writing, Photography, Painting, Crafting","Historical Sites, Wildlife Safaris, Luxury Resorts, Adventure Sports, Cities, Road Trips","Indian, Chinese, Mediterranean, Mexican",Mystery,"Action, RPG, Indie, Puzzle, Sports","Boating, Stargazing, Rock Climbing, Surfing, Hiking, Skiing, Bird Watching","Volunteering, Entrepreneurship, DIY Projects, Fashion",31
